#	Company	Symbol	Weight	      Price	Chg	% Chg
191	Copart Inc	CPRT	0.10%	   53.04	0.13	(0.25%)
192	Ameriprise Financial, Inc.	AMP	0.10%	   480.46	2.41	(0.50%)
193	Dominion Energy, Inc.	D	0.10%	   53.72	-1.42	(-2.58%)
194	Digital Realty Trust, Inc.	DLR	0.10%	   151.67	4.66	(3.17%)
195	Cencora, Inc.	COR	0.10%	   254.00	-6.67	(-2.56%)
196	Metlife, Inc.	MET	0.10%	   79.18	0.73	(0.93%)
197	Cummins Inc.	CMI	0.10%	   330.71	1.31	(0.40%)
198	Kenvue Inc.	KVUE	0.10%	   23.07	-0.42	(-1.79%)
199	Fastenal Co	FAST	0.09%	   75.99	-1.36	(-1.76%)
200	The Kroger Co.	KR	0.09%	   64.99	-1.56	(-2.34%)
201	Yum! Brands, Inc.	YUM	0.09%	   154.40	-2.30	(-1.47%)
202	Exelon Corporation	EXC	0.09%	   42.61	-0.79	(-1.82%)
203	Sempra	SRE	0.09%	   68.95	0.16	(0.23%)
204	W.W. Grainger, Inc.	GWW	0.09%	   968.29	-13.25	(-1.35%)
205	Marathon Petroleum Corporation	MPC	0.09%	   137.12	2.40	(1.78%)
206	Te Connectivity Plc	TEL	0.09%	   143.18	-1.38	(-0.95%)
207	Ross Stores Inc	ROST	0.09%	   126.52	-2.13	(-1.66%)
208	Msci, Inc.	MSCI	0.09%	   545.07	3.35	(0.62%)
209	Crown Castle Inc.	CCI	0.09%	   95.29	-2.34	(-2.40%)
210	Fair Isaac Corporation	FICO	0.09%	   1,779.00	56.15	(3.26%)
211	Baker Hughes Company	BKR	0.09%	   42.48	0.63	(1.51%)
212	Ametek, Inc.	AME	0.09%	   177.21	-1.65	(-0.92%)
